School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
St. Teresa's Academy,2.6,2.39,4.99,1,1,1
Helias Catholic,2.2,2.21,4.41,2,2,2
Blue Springs South,2.03,2.11,4.13,5,3,3
Cor Jesu Academy,2.05,2.02,4.07,4,4,4
Lafayette (Wildwood),2.07,1.99,4.06,3,6,5
Liberty,1.99,2.02,4.01,6,5,6
Eureka,1.97,1.93,3.9,8,7,7
Lee's Summit West,1.97,1.85,3.82,7,8,8
Logan-Rogersville,1.79,1.81,3.6,9,9,9
Ozark,1.79,1.81,3.59,10,10,10
Francis Howell,1.78,1.74,3.52,11,11,11
Oakville,1.62,1.72,3.33,18,12,12
Park Hill South,1.66,1.66,3.32,16,13,13
St. Joseph's Academy,1.72,1.59,3.31,12,16,14
Northwest (Cedar Hill),1.66,1.62,3.28,15,15,15
Blue Springs,1.69,1.55,3.24,13,18,16
Veritas Christian Academy,1.67,1.53,3.2,14,21,17
Raymore-Peculiar,1.65,1.55,3.2,17,19,18
St. Dominic,1.56,1.57,3.14,20,17,19
Nixa,1.6,1.53,3.13,19,20,20
Kearney,1.47,1.65,3.12,24,14,21
Marquette,1.56,1.51,3.07,21,22,22
Kickapoo,1.5,1.49,2.99,22,24,23
Mehlville,1.48,1.5,2.98,23,23,24
Advance,1.46,1.45,2.91,25,26,25
Incarnate Word Academy,1.42,1.47,2.89,28,25,26
Farmington,1.4,1.42,2.81,31,27,27
Platte County,1.4,1.41,2.81,30,28,28
Rockwood Summit,1.45,1.34,2.79,27,35,29
Timberland,1.39,1.39,2.78,32,31,30
Hermann,1.36,1.41,2.77,34,30,31
Arcadia Valley,1.35,1.41,2.76,35,29,32
Park Hill,1.46,1.29,2.75,26,38,33
Ursuline Academy,1.38,1.35,2.73,33,33,34
Washington,1.41,1.29,2.69,29,39,35
Lutheran South,1.31,1.34,2.65,38,34,36
Visitation Academy,1.29,1.35,2.64,40,32,37
Webster Groves,1.32,1.29,2.61,36,37,38
Festus,1.32,1.25,2.57,37,40,39
Blair Oaks,1.23,1.31,2.54,43,36,40
Lee's Summit,1.29,1.23,2.52,39,41,41
Staley,1.27,1.16,2.43,41,45,42
St. Michael the Archangel,1.19,1.19,2.38,45,42,43
Lindbergh,1.19,1.17,2.35,46,44,44
Jackson,1.21,1.13,2.34,44,46,45
Liberty North,1.25,1.08,2.34,42,48,46
Lutheran St. Charles,1.1,1.17,2.27,48,43,47
Francis Howell Central,1.15,1.02,2.18,47,51,48
Ft. Zumwalt West,1.01,1.1,2.11,51,47,49
Parkway West,1.04,1.04,2.08,50,49,50
Jefferson (Festus),1.07,0.95,2.02,49,54,51
Pleasant Hill,0.97,1.03,2.0,56,50,52
