School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Advance,1.46,1.45,2.91,1,1,1
Valle Catholic,0.87,0.86,1.73,2,2,2
Calvary Lutheran,0.8,0.76,1.56,3,3,3
Bernie,0.56,0.65,1.21,4,4,4
Leopold,0.54,0.61,1.15,6,5,5
Santa Fe,0.55,0.58,1.14,5,6,6
Sparta,0.47,0.48,0.95,9,7,7
Winona,0.49,0.41,0.9,8,8,8
Lutheran (Kansas City),0.5,0.39,0.89,7,9,9
Sacred Heart,0.37,0.38,0.75,12,10,10
Lesterville,0.46,0.29,0.75,10,14,11
West Platte,0.4,0.33,0.73,11,12,12
Adrian,0.29,0.37,0.66,14,11,13
Billings,0.29,0.33,0.62,13,13,14
Miller,0.19,0.13,0.32,15,15,15
Oak Ridge,0.12,0.05,0.17,16,17,16
Green Ridge,0.07,0.09,0.15,17,16,17
Blue Eye,0.02,-0.0,0.02,19,18,18
Midway,0.04,-0.04,-0.0,18,21,19
Campbell,-0.03,-0.0,-0.03,22,19,20
Crane,-0.01,-0.03,-0.05,20,20,21
Crest Ridge,-0.02,-0.07,-0.1,21,22,22
School of the Ozarks,-0.03,-0.21,-0.24,23,25,23
Eugene,-0.15,-0.12,-0.28,25,23,24
Eminence,-0.14,-0.15,-0.29,24,24,25
Clarkton,-0.22,-0.22,-0.44,27,26,26
Hurley,-0.19,-0.29,-0.49,26,27,27
Smithton,-0.29,-0.35,-0.64,28,29,28
Meadow Heights,-0.37,-0.38,-0.75,29,30,29
Northland Christian,-0.42,-0.35,-0.77,31,28,30
St. Joseph Christian,-0.42,-0.44,-0.86,32,31,31
McAuley Catholic,-0.37,-0.52,-0.9,30,38,32
Ellington,-0.42,-0.49,-0.91,33,32,33
Osceola,-0.46,-0.51,-0.97,34,35,34
Rock Port,-0.51,-0.5,-1.01,38,34,35
Wellington-Napoleon,-0.49,-0.52,-1.01,35,37,36
Oran,-0.55,-0.49,-1.04,39,33,37
Southland,-0.51,-0.59,-1.1,36,41,38
Fordland,-0.59,-0.53,-1.12,40,39,39
Concordia,-0.62,-0.51,-1.13,43,36,40
Archie,-0.51,-0.66,-1.17,37,43,41
Lincoln,-0.61,-0.57,-1.18,42,40,42
Viburnum,-0.65,-0.61,-1.26,45,42,43
Wheaton,-0.61,-0.67,-1.28,41,44,44
South Iron,-0.65,-0.68,-1.33,46,45,45
North Platte,-0.68,-0.72,-1.4,47,46,46
Liberal,-0.63,-0.79,-1.43,44,51,47
Crystal City,-0.71,-0.77,-1.48,48,49,48
Holcomb,-0.74,-0.77,-1.5,50,48,49
Northwest (Hughesville),-0.8,-0.72,-1.52,53,47,50
Zalma,-0.74,-0.82,-1.56,51,52,51
Lockwood,-0.79,-0.79,-1.58,52,50,52
North Pemiscot,-0.73,-0.89,-1.62,49,58,53
Rich Hill,-0.81,-0.83,-1.64,54,53,54
Summersville,-0.86,-0.86,-1.72,56,56,55
Greenfield,-0.89,-0.85,-1.74,57,55,56
Bismarck,-0.92,-0.87,-1.8,59,57,57
Galena,-0.98,-0.85,-1.83,62,54,58
Verona,-0.94,-0.98,-1.92,60,62,59
Cooter,-1.03,-0.93,-1.96,64,60,60
Nodaway-Holt,-0.89,-1.08,-1.97,58,65,61
Richland (Essex),-0.99,-1.0,-1.99,63,64,62
Lakeland,-1.12,-0.89,-2.01,68,59,63
Jasper,-1.04,-0.97,-2.01,65,61,64
Bell City,-1.12,-0.99,-2.12,69,63,65
Valley,-0.98,-1.2,-2.18,61,69,66
Otterville,-1.06,-1.15,-2.21,66,67,67
St. Paul Lutheran (Farmington),-0.84,-1.38,-2.22,55,74,68
Bunker,-1.08,-1.23,-2.32,67,71,69
Golden City,-1.25,-1.12,-2.36,71,66,70
La Monte,-1.16,-1.2,-2.36,70,68,71
Kingsville,-1.3,-1.22,-2.52,72,70,72
Orrick,-1.47,-1.27,-2.74,74,72,73
Chadwick,-1.42,-1.35,-2.77,73,73,74
Drexel,-1.52,-1.51,-3.03,76,76,75
Hume,-1.5,-1.59,-3.09,75,78,76
Purdy,-1.6,-1.58,-3.18,79,77,77
Bradleyville,-1.58,-1.62,-3.2,78,80,78
Bunceton,-1.75,-1.48,-3.23,83,75,79
Thomas Jefferson Independent Day,-1.61,-1.68,-3.29,80,83,80
Niangua,-1.57,-1.78,-3.35,77,85,81
Exeter,-1.67,-1.68,-3.35,81,84,82
Delta (Deering),-1.72,-1.65,-3.37,82,82,83
Hayti,-1.76,-1.65,-3.41,84,81,84
Marquand-Zion,-1.97,-1.61,-3.58,86,79,85
Northeast Vernon County,-1.81,-2.03,-3.84,85,87,86
Sheldon,-1.99,-1.91,-3.9,87,86,87
Columbia Independent,-2.07,-2.33,-4.4,88,90,88
Koshkonong,-2.34,-2.15,-4.48,93,88,89
Ballard,-2.19,-2.36,-4.54,90,91,90
Everton,-2.28,-2.26,-4.54,92,89,91
Calhoun,-2.16,-2.51,-4.67,89,94,92
Miami (Amoret),-2.41,-2.4,-4.81,94,92,93
Chilhowee,-2.44,-2.48,-4.92,95,93,94
North Nodaway,-2.64,-2.59,-5.23,96,95,95
Missouri School for the Deaf,-2.26,-3.07,-5.32,91,97,96
Bronaugh,-2.68,-2.67,-5.36,97,96,97
