Date,Home Team,Home Score,Away Team,Away Score
2018-08-17,Lutheran North,0,Lutheran St. Charles,2
2018-08-17,St. Charles West,0,Lutheran St. Charles,2
2018-08-17,John Burroughs,1,Lutheran St. Charles,1
2018-08-17,Parkway South,2,McCluer,0
2018-08-17,Trinity Catholic,2,McCluer,0
2018-08-18,North County,2,Pacific,0
2018-08-18,Festus,2,Pacific,0
2018-08-20,Northeast (Kansas City),0,East (Kansas City),1
2018-08-20,Southeast,0,East (Kansas City),1
2018-08-20,Midway,2,Rich Hill,0
2018-08-20,Sherwood,1,Rich Hill,1
2018-08-20,Central (Kansas City),0,University Academy Charter,2
2018-08-20,Lincoln College Prep,0,University Academy Charter,2
2018-08-21,Bowling Green,1,Fulton,1
2018-08-21,Hannibal,2,Fulton,0
2018-08-21,Mid-Buchanan,2,South Harrison,0
2018-08-21,Archie,2,South Harrison,0
2018-08-23,Adrian,0,Butler,2
2018-08-23,Pembroke Hill,2,Butler,0
2018-08-23,Miami (Amoret),0,Drexel,2
2018-08-23,Adrian,0,Pembroke Hill,2
2018-08-24,Wright City,0,Battle,2
2018-08-24,Greenville,0,Bloomfield,2
2018-08-24,Normandy Collaborative,0,Collegiate School of Med-Bio Science,2
2018-08-24,Eureka,0,Cor Jesu Academy,2
2018-08-24,Hurley,2,Fordland,0
2018-08-24,Pattonville,1,Francis Howell North,2
2018-08-24,Holt,2,Ft. Zumwalt East,0
2018-08-24,Brentwood,2,Gateway,0
2018-08-24,Brentwood,2,Gateway Science Charter,0
2018-08-24,Waynesville,1,Glendale,2
2018-08-24,Ft. Zumwalt South,2,Hazelwood West,0
2018-08-24,Southland,2,Holcomb,0
2018-08-24,Ritenour,0,Incarnate Word Academy,2
2018-08-24,Washington,0,Marquette,2
2018-08-24,Lafayette (Wildwood),0,Oakville,2
2018-08-24,Wheaton,2,Pierce City,0
2018-08-24,North Pemiscot,2,Senath-Hornersville,0
2018-08-24,School of the Ozarks,2,Spokane,1
2018-08-24,Bunker,2,Valley,1
2018-08-24,Cardinal Ritter,0,Valley Park,2
2018-08-24,South Iron,0,Zalma,2
2018-08-25,DeSoto,1,Affton,2
2018-08-25,Parkway South,2,Affton,0
2018-08-25,Pacific,1,Affton,1
2018-08-25,Mehlville,2,Affton,0
2018-08-25,St. Joseph Christian,0,Benton,2
2018-08-25,Helias Catholic,2,Blue Springs South,0
2018-08-25,Kickapoo,0,Blue Springs South,2
2018-08-25,Plato,0,Branson,2
2018-08-25,Father Tolton,0,Branson,2
2018-08-25,Father Tolton,0,Carthage,2
2018-08-25,Reeds Spring,0,Carthage,2
2018-08-25,Lebanon,0,Carthage,2
2018-08-25,Summit Christian Academy,0,Carthage,2
2018-08-25,Fair Grove,0,Carthage,2
2018-08-25,Rockwood Summit,0,Carthage,2
2018-08-25,Summit Christian Academy,2,Central (Springfield),0
2018-08-25,Republic,1,Central (Springfield),1
2018-08-25,Plato,1,Central (Springfield),2
2018-08-25,Branson,2,Central (Springfield),0
2018-08-25,Pacific,2,Clayton,1
2018-08-25,Windsor (Imperial),2,Clayton,0
2018-08-25,St. Pius X (Festus),2,Clayton,0
2018-08-25,Summit Christian Academy,1,Clinton,1
2018-08-25,Republic,1,Clinton,1
2018-08-25,Central (Springfield),1,Clinton,1
2018-08-25,Houston,1,Clinton,2
2018-08-25,Mt. Vernon,1,Clinton,2
2018-08-25,Branson,2,Clinton,0
2018-08-25,Windsor (Imperial),2,DeSoto,0
2018-08-25,Clayton,2,DeSoto,0
2018-08-25,St. Pius X (Festus),2,DeSoto,0
2018-08-25,Marionville,2,Everton,0
2018-08-25,Southwest (Washburn),2,Everton,0
2018-08-25,Miller,2,Everton,0
2018-08-25,Verona,2,Exeter,0
2018-08-25,Sarcoxie,2,Exeter,0
2018-08-25,Winona,0,Fair Grove,2
2018-08-25,Plato,0,Fair Grove,2
2018-08-25,Branson,0,Fair Grove,2
2018-08-25,Visitation Academy,2,Francis Howell North,0
2018-08-25,Lindbergh,2,Francis Howell North,0
2018-08-25,Whitfield,0,Francis Howell North,2
2018-08-25,Incarnate Word Academy,2,Francis Howell North,0
2018-08-25,MICDS,0,Francis Howell North,2
2018-08-25,Verona,2,Golden City,0
2018-08-25,Sarcoxie,2,Golden City,0
2018-08-25,Exeter,0,Golden City,2
2018-08-25,Winona,2,Houston,0
2018-08-25,Mt. Vernon,2,Houston,0
2018-08-25,Visitation Academy,2,Incarnate Word Academy,0
2018-08-25,Springfield Catholic,0,Incarnate Word Academy,2
2018-08-25,Whitfield,0,John Burroughs,2
2018-08-25,Visitation Academy,2,John Burroughs,0
2018-08-25,Helias Catholic,2,Kickapoo,0
2018-08-25,Washington,1,Kirkwood,1
2018-08-25,Westminster Christian Academy,0,Kirkwood,2
2018-08-25,St. Dominic,2,Kirkwood,0
2018-08-25,John Burroughs,2,Ladue Horton Watkins,0
2018-08-25,Webster Groves,2,Ladue Horton Watkins,0
2018-08-25,Whitfield,0,Ladue Horton Watkins,2
2018-08-25,Incarnate Word Academy,2,Ladue Horton Watkins,0
2018-08-25,Father Tolton,0,Lebanon,2
2018-08-25,Visitation Academy,1,Lindbergh,1
2018-08-25,Incarnate Word Academy,0,Lindbergh,2
2018-08-25,Parkway Central,2,Lindbergh,1
2018-08-25,Verona,0,Lockwood,2
2018-08-25,Sarcoxie,2,Lockwood,0
2018-08-25,Golden City,0,Lockwood,2
2018-08-25,Exeter,0,Lockwood,2
2018-08-25,Miller,2,Lockwood,0
2018-08-25,Parkway West,1,Lutheran South,1
2018-08-25,Westminster Christian Academy,0,Lutheran South,2
2018-08-25,St. Joseph's Academy,1,Lutheran South,1
2018-08-25,St. Dominic,2,Lutheran South,0
2018-08-25,Sarcoxie,2,Marionville,0
2018-08-25,Southwest (Washburn),0,Marionville,2
2018-08-25,Miller,2,Marionville,0
2018-08-25,Parkway South,1,Mehlville,1
2018-08-25,Pacific,0,Mehlville,2
2018-08-25,Windsor (Imperial),1,Mehlville,2
2018-08-25,St. Pius X (Festus),2,Mehlville,1
2018-08-25,Veritas Christian Academy,2,MICDS,0
2018-08-25,Springfield Catholic,0,MICDS,2
2018-08-25,Sarcoxie,0,Miller,2
2018-08-25,Southwest (Washburn),0,Miller,2
2018-08-25,Winona,2,Mt. Vernon,0
2018-08-25,Rock Port,2,Nodaway-Holt,0
2018-08-25,St. James,2,Nodaway-Holt,1
2018-08-25,Veritas Christian Academy,1,Parkway Central,1
2018-08-25,Webster Groves,2,Parkway Central,0
2018-08-25,Springfield Catholic,0,Parkway Central,2
2018-08-25,MICDS,0,Parkway Central,2
2018-08-25,Pacific,0,Parkway South,2
2018-08-25,St. Pius X (Festus),2,Parkway South,1
2018-08-25,Windsor (Imperial),2,Parkway South,1
2018-08-25,Westminster Christian Academy,0,Parkway West,2
2018-08-25,Washington,2,Parkway West,1
2018-08-25,St. Joseph's Academy,2,Parkway West,0
2018-08-25,Marionville,2,Purdy,0
2018-08-25,Everton,0,Purdy,2
2018-08-25,Miller,2,Purdy,0
2018-08-25,Southwest (Washburn),2,Purdy,0
2018-08-25,Father Tolton,0,Reeds Spring,2
2018-08-25,Lebanon,2,Reeds Spring,0
2018-08-25,Mt. Vernon,2,Reeds Spring,1
2018-08-25,Summit Christian Academy,1,Republic,1
2018-08-25,St. Joseph Christian,0,Rock Port,2
2018-08-25,Winona,0,Rockwood Summit,2
2018-08-25,Republic,1,Rockwood Summit,2
2018-08-25,Houston,0,Rockwood Summit,2
2018-08-25,Lebanon,0,Rockwood Summit,2
2018-08-25,Mt. Vernon,0,Rockwood Summit,2
2018-08-25,Veritas Christian Academy,2,Springfield Catholic,0
2018-08-25,Verona,0,Sarcoxie,2
2018-08-25,Verona,2,Southwest (Washburn),0
2018-08-25,St. Joseph's Academy,2,St. Dominic,0
2018-08-25,Westminster Christian Academy,0,St. Joseph's Academy,2
2018-08-25,Veritas Christian Academy,2,Visitation Academy,0
2018-08-25,St. Dominic,0,Washington,2
2018-08-25,John Burroughs,0,Webster Groves,2
2018-08-25,Veritas Christian Academy,2,Webster Groves,1
2018-08-25,Whitfield,0,Webster Groves,2
2018-08-25,Helias Catholic,2,Willard,1
2018-08-25,St. Pius X (Festus),1,Windsor (Imperial),1
